rank,2019-12-13,0未开始|1左方胜|2右方胜,top16,2019-12-20,0未开始|1左方胜|2右方胜,top8,2019-12-27,0未开始|1左方胜|2右方胜,top4,2020-1-3,0未开始|1左方胜|2右方胜,top2,2020-1-10,0未开始|1左方胜|2右方胜,top,2020-1-17,0未开始|1左方胜|2右方胜
80,127,1,103,90,0,0,0,0,0,0,0,0,0,0,0,0,0
87,111,1,109,80,0,0,0,0,0,0,0,0,0,0,,,
97,99,1,91,89,0,0,0,0,0,0,0,,,,,,
81,119,1,100,81,0,0,0,0,0,0,0,,,,,,
102,110,1,86,120,0,0,0,0,,,,,,,,,
94,93,1,106,105,0,0,0,0,,,,,,,,,
89,118,1,95,88,0,0,0,0,,,,,,,,,
88,129,1,108,85,0,0,0,0,,,,,,,,,
90,130,1,78,94,0,,,,,,,,,,,,
105,114,1,82,102,0,,,,,,,,,,,,
104,120,1,84,97,0,,,,,,,,,,,,
85,133,1,122,111,0,,,,,,,,,,,,
101,98,1,92,101,0,,,,,,,,,,,,
78,121,1,79,87,0,,,,,,,,,,,,
108,96,1,83,104,0,,,,,,,,,,,,
79,123,1,107,114,0,,,,,,,,,,,,
92,113,1,,,,,,,,,,,,,,,
122,116,1,,,,,,,,,,,,,,,
84,117,1,,,,,,,,,,,,,,,
82,115,1,,,,,,,,,,,,,,,
107,125,1,,,,,,,,,,,,,,,
83,132,1,,,,,,,,,,,,,,,
95,128,1,,,,,,,,,,,,,,,
106,134,1,,,,,,,,,,,,,,,
86,131,1,,,,,,,,,,,,,,,
100,126,1,,,,,,,,,,,,,,,
91,112,1,,,,,,,,,,,,,,,
109,135,1,,,,,,,,,,,,,,,
124,103,2,,,,,,,,,,,,,,,
